REIZ CONTINENTAL HOTEL ABUJA    
SUPPLIER 6133 MRS ADEBAYO PURCHASE
FROM 01-03-2022 TO 09-11-2022
Date       Ref.                 Description                           Debit       Credit      Balance
******************************************************************************************************
OPENING BALANCE                                                                                  0.00
17-03-2022 RR221006             Coca Cola                                       12000.00
17-03-2022 RR221007             Assorted sweet                                   8000.00
17-03-2022 RR221008             Cabbage                                          6000.00
17-03-2022 RR221008             Peanut                                           9000.00
17-03-2022 RR221009             BITTER KOLA                                      6000.00
17-03-2022 RR221009             Kola Nut                                         3000.00
18-03-2022 RR221027             BISCUIT                                         15400.00
18-03-2022 RR221027             PALM PEANUT                                      9100.00
18-03-2022 RR221028             Take Away Pack (small)                          15300.00
18-03-2022 RR221029             Chivita Small                                   13000.00
18-03-2022 RR221029             CHIVITA  LARGE                                  10200.00
18-03-2022 RR221031             Green Sponge                                     2000.00
18-03-2022 RR221032             Pineapple Fruit                                 22500.00
18-03-2022 RR221032             Water Mellon                                    18000.00
18-03-2022 RR221032             Pawpaw                                          12000.00
18-03-2022 RR221032             Orange Fruit                                     7000.00
18-03-2022 RR221032             BROCOLI IMPORTED                                 3600.00
18-03-2022 RR221032             CAULIC FLOWER                                    3600.00
18-03-2022 RR221032             Water Leaves                                     2500.00
18-03-2022 RR221032             Okro                                             3000.00
18-03-2022 RR221032             Lettuce                                          2500.00
18-03-2022 RR221032             OGBONO                                           6000.00
18-03-2022 RR221032             Eguisi                                           2600.00
18-03-2022 RR221032             GARLIC  POWDER                                   2300.00
18-03-2022 RR221032             Fresh Ginger                                     1000.00
18-03-2022 RR221033             Dried Fish                                      24000.00
18-03-2022 RR221033             BITTER KOLA                                      6000.00
18-03-2022 RR221033             Kola Nut                                         3000.00
18-03-2022 88791337             WEEKLY PURCHASES                  500000.00
19-03-2022 RR221042             Bulk sausage                                    18000.00
19-03-2022 RR221043             Pineapple Fruit                                 13500.00
19-03-2022 RR221043             Water Mellon                                    10800.00
19-03-2022 RR221043             Pawpaw                                           3000.00
19-03-2022 RR221043             Ugu Leaves                                       1000.00
19-03-2022 RR221043             Plantain                                         4000.00
19-03-2022 RR221044             Utazi Leaves                                     1000.00
21-03-2022 RR220960             BISCUIT                                         15400.00
21-03-2022 RR220961             CHIVITA  LARGE                                  10200.00
21-03-2022 RR220961             CHIVITA JUICE M                                 10600.00
21-03-2022 RR220962             Assorted sweet                                   8000.00
21-03-2022 RR220963             Meduim Padlock                                   2000.00
21-03-2022 RR220964             Pineapple Fruit                                 18000.00
21-03-2022 RR220964             Water Mellon                                    14400.00
21-03-2022 RR220964             Orange Fruit                                     7000.00
21-03-2022 RR220964             Ugu Leaves                                       4000.00
21-03-2022 RR220964             Water Leaves                                     4000.00
21-03-2022 RR220964             Afang Leave                                      8000.00
21-03-2022 RR220964             Green Beans                                      5000.00
21-03-2022 RR220964             Stock Fish Head                                 16000.00
21-03-2022 RR220964             PERIWINKLE                                       4000.00
21-03-2022 RR220964             Eguisi                                          10400.00
21-03-2022 RR220964             OGBONO                                           6000.00
21-03-2022 RR220964             Pepper Soup Spices                               2500.00
21-03-2022 RR220964             Bitter Leaves                                    4000.00
21-03-2022 RR220965             Green Pepper                                     7000.00
21-03-2022 RR220965             BROCOLI IMPORTED                                 3600.00
21-03-2022 RR220965             CAULIC FLOWER                                    2000.00
21-03-2022 RR220965             Celery                                           1000.00
21-03-2022 RR220965             Parsly                                            500.00
21-03-2022 RR220965             Lettuce                                          1200.00
21-03-2022 RR220965             Cucumber                                         2999.99
21-03-2022 RR220965             GARLIC  POWDER                                   4600.00
21-03-2022 RR220965             Fresh Ginger                                     2000.00
21-03-2022 RR220965             Kpomo                                            4000.00
21-03-2022 RR220966             Fresh Tomatos                                    7999.99
21-03-2022 RR220966             HOT PEPPER                                       5000.00
21-03-2022 RR220966             Red Pepper                                       6000.00
21-03-2022 RR220966             SHAMBO PEPPER                                    5999.99
21-03-2022 RR220966             Carrot                                           5000.00
21-03-2022 RR220966             Onion                                            9000.00
21-03-2022 RR220966             Spring Onion                                     1200.00
21-03-2022 RR220966             Oha Leaves                                       2000.00
21-03-2022 RR220966             Sweet Potatoes                                   6999.99
21-03-2022 RR220966             IRISH POTATOE                                   10000.00
21-03-2022 RR220966             CAMERON PEPPER                                   2000.00
21-03-2022 RR220966             Pumpkin                                          1000.00
21-03-2022 RR220966             Scent Leaves                                     1000.00
21-03-2022 RR220967             Bitter Leaves                                    4000.00
21-03-2022 RR220967             Cabbage                                          6000.00
21-03-2022 RR220968             STOCK FISH BAR                                  10000.00
21-03-2022 RR220968             Lemon Fruit                                      1000.00
21-03-2022 RR220968             BITTER KOLA                                      6000.00
21-03-2022 RR220968             Kola Nut                                         3000.00
21-03-2022 88791345             WEEKLY PURCHASES                  500000.00
22-03-2022 RR220988             BISCUIT                                         11000.00
22-03-2022 RR220988             PALM PEANUT                                     12400.00
22-03-2022 RR220989             Gillett Shaving Stick                           17000.00
22-03-2022 RR220990             Iron Sponge                                      2000.00
22-03-2022 RR220991             Chivita Small                                   19500.00
22-03-2022 RR220991             CHIVITA JUICE M                                  5300.00
22-03-2022 RR220992             Mopping Stick                                   12500.00
22-03-2022 RR220993             Always Sanitary Pad                              8400.00
22-03-2022 RR220993             Sponge Foam                                     13000.00
22-03-2022 RR220994             Assorted sweet                                   8000.00
22-03-2022 RR220995             Powdered Starch                                 11000.00
22-03-2022 RR220996             Apple                                           11000.00
22-03-2022 RR220997             Utazi Leaves                                     1000.00
22-03-2022 RR220997             UZIZA SEEDS                                      2000.00
22-03-2022 RR220997             Pap                                              2500.00
22-03-2022 RR220997             PERIWINKLE                                       4000.00
22-03-2022 RR220997             Plantain                                         4000.00
22-03-2022 RR220997             BITTER KOLA                                      6000.00
22-03-2022 RR220997             Kola Nut                                         3000.00
23-03-2022 88791390             WEEKLY PURCHASES                  500000.00
23-03-2022 RR229458             BISCUIT                                         11000.00
